symbol,name,reportDate,fiscalDateEnding,estimate,currency
A,Agilent Technologies Inc,2023-08-14,2023-07-31,1.36,USD
AA,Alcoa Corp,2023-07-18,2023-06-30,-0.24,USD
AABVF,AABVF,2023-09-12,2023-07-31,,CAD
AACAY,AACAY,2023-08-23,2023-06-30,0.0203,USD
AACG,ATA Creativity Global,2023-08-09,2023-06-30,,CNY
AADI,Aadi Bioscience Inc,2023-08-08,2023-06-30,-0.62,USD
AAGIY,AAGIY,2023-08-25,2023-06-30,1.21,USD
AAGRY,AAGRY,2023-07-26,2023-06-30,0,IDR
AAIC,Arlington Asset Investment Corp - Class A,2023-08-07,2023-06-30,0.05,USD
AAIGF,AAIGF,2023-08-25,2023-06-30,0.3037,USD
AAL,American Airlines Group Inc,2023-07-19,2023-06-30,1.49,USD
AAM-PA,AAM-PA,2023-08-08,2023-06-30,,USD
AAMC,Altisource Asset Management Corp,2023-08-09,2023-06-30,,USD
AAME,Atlantic American Corp,2023-08-10,2023-06-30,,USD
AAN,Aarons Company Inc (The),2023-07-24,2023-06-30,0.18,USD
AAOI,Applied Optoelectronics Inc,2023-08-02,2023-06-30,-0.28,USD
AAON,AAON Inc,2023-08-07,2023-06-30,0.65,USD
AAP,Advance Auto Parts Inc,2023-08-21,2023-06-30,1.62,USD
AAPL,Apple Inc,2023-07-26,2023-06-30,1.19,USD
AAT,American Assets Trust Inc,2023-07-24,2023-06-30,0.15,USD
AATC,AATC,2023-08-10,2023-06-30,0,USD
AAU,Almaden Minerals Ltd,2023-08-09,2023-06-30,-0.0135,USD
AAVVF,AAVVF,2023-07-26,2023-06-30,0.09,CAD
AAWH,AAWH,2023-08-08,2023-06-30,-0.07,USD
AAWW,AAWW,2023-08-02,2023-06-30,,USD
AB,AllianceBernstein Holding Lp,2023-07-27,2023-06-30,0.66,USD
ABB,ABB Ltd,2023-07-20,2023-06-30,0.4828,USD
ABBNY,ABBNY,2023-07-20,2023-06-30,0.4828,USD
ABBRF,ABBRF,2023-08-24,2023-06-30,0,CAD
ABBV,Abbvie Inc,2023-07-27,2023-06-30,2.91,USD
ABC,Amerisource Bergen Corp,2023-08-01,2023-06-30,2.81,USD
ABCAF,ABCAF,2023-08-24,2023-06-30,,CAD
ABCB,Ameris Bancorp,2023-07-24,2023-06-30,1.17,USD
ABCL,AbCellera Biologics Inc,2023-08-07,2023-06-30,-0.13,USD
ABCM,Abcam,2023-09-11,2023-06-30,0.1873,GBP
ABCP,ABCP,2023-08-03,2023-06-30,,USD
ABEO,Abeona Therapeutics Inc,2023-08-09,2023-06-30,-0.7,USD
ABEV,Ambev S.A.,2023-08-03,2023-06-30,0.0338,BRL
ABG,Asbury Automotive Group Inc,2023-07-26,2023-06-30,8.04,USD
ABHBY,ABHBY,2023-08-23,2023-06-30,,EUR
ABILF,ABILF,2023-08-14,2023-06-30,0,USD
ABIO,ARCA biopharma Inc,2023-07-31,2023-06-30,,USD
ABLZF,ABLZF,2023-07-20,2023-06-30,0.4828,USD
ABM,ABM Industries Inc,2023-09-07,2023-07-31,0.89,USD
ABMC,ABMC,2023-08-16,2023-06-30,0,USD
ABMD,ABMD,2023-08-02,2023-06-30,,USD
ABML,ABML,2023-09-08,2023-06-30,-0.01,USD
ABNB,Airbnb Inc - Class A,2023-07-31,2023-06-30,0.75,USD
ABOS,Acumen Pharmaceuticals Inc,2023-08-14,2023-06-30,-0.3576,USD
ABR,Arbor Realty Trust Inc,2023-07-27,2023-06-30,0.44,USD
ABSI,Absci Corp,2023-09-05,2023-06-30,-0.2347,USD
ABSSF,ABSSF,2023-08-02,2023-06-30,,USD
ABST,Absolute Software Corporation,2023-08-21,2023-06-30,-0.04,USD
ABT,Abbott Laboratories,2023-07-18,2023-06-30,1.05,USD
ABUS,Arbutus Biopharma Corp,2023-08-02,2023-06-30,-0.11,USD
ABVC,ABVC BioPharma Inc,2023-08-14,2023-06-30,-0.06,USD
AC,Associated Capital Group Inc - Class A,2023-08-01,2023-06-30,,USD
ACA,Arcosa Inc,2023-08-01,2023-06-30,0.59,USD
ACAD,Acadia Pharmaceuticals Inc,2023-08-07,2023-06-30,-0.19,USD
ACAI,ACAI,2023-08-02,2023-05-31,0,USD
ACAN,ACAN,2023-08-14,2023-06-30,,USD
ACAZF,ACAZF,2023-07-25,2023-06-30,,CAD
ACB,Aurora Cannabis Inc,2023-09-18,2023-06-30,-0.08,CAD
ACCD,Accolade Inc,2023-06-29,2023-05-31,-0.62,USD
ACCFF,ACCFF,2023-08-01,2023-06-30,,CAD
ACCO,Acco Brands Corporation,2023-08-07,2023-06-30,0.29,USD
ACCYY,ACCYY,2023-07-27,2023-06-30,0,EUR
ACDC,ProFrac Holding Corp Class A,2023-08-10,2023-06-30,0.638,USD
ACDVF,ACDVF,2023-07-31,2023-06-30,0.46,CAD
ACEL,Accel Entertainment Inc - Class A1,2023-08-07,2023-06-30,0.2036,USD
ACER,Acer Therapeutics Inc,2023-08-14,2023-06-30,-0.25,USD
ACET,Adicet Bio Inc,2023-08-08,2023-06-30,-0.68,USD
ACFN,ACFN,2023-08-10,2023-06-30,,USD
ACGL,Arch Capital Group Ltd,2023-07-25,2023-06-30,1.59,USD
ACGN,Aceragen Inc,2023-08-07,2023-06-30,,USD
ACHC,Acadia Healthcare Company Inc,2023-07-25,2023-06-30,0.85,USD
ACHL,Achilles Therapeutics Plc,2023-08-07,2023-06-30,-0.41,USD
ACHR,Archer Aviation Inc - Class A,2023-08-08,2023-06-30,-0.31,USD
ACHV,Achieve Life Sciences Inc,2023-08-09,2023-06-30,-0.42,USD
ACI,Albertsons Companies Inc - Class A,2023-07-24,2023-05-31,0.84,USD
ACIU,AC Immune SA,2023-07-26,2023-06-30,-0.21,CHF
ACIW,ACI Worldwide Inc,2023-08-02,2023-06-30,-0.14,USD
ACKAY,ACKAY,2023-07-27,2023-06-30,0.604,TRY
ACLLF,ACLLF,2023-07-26,2023-06-30,,CAD
ACLS,Axcelis Technologies Inc,2023-08-01,2023-06-30,1.46,USD
ACLX,Arcellx Inc,2023-08-14,2023-06-30,-0.7378,USD
ACM,AECOM,2023-08-07,2023-06-30,0.95,USD
ACMR,ACM Research Inc - Class A,2023-08-03,2023-06-30,0.12,USD
ACMTA,ACMTA,2023-08-07,2023-06-30,,USD
ACNB,ACNB Corp,2023-07-27,2023-06-30,1.04,USD
ACNT,Ascent Industries Company,2023-08-07,2023-06-30,-0.39,USD
