ACCD,Accolade Inc,2023-06-29,2023-05-31,-0.62,USD
AEMD,Aethlon Medical Inc,2023-06-28,2023-03-31,-0.13,USD
AIRT,Air T Inc,2023-06-26,2023-03-31,,USD
ALZN,Alzamend Neuro Inc,2023-06-28,2023-04-30,-0.045,USD
AMYZF,AMYZF,2023-06-27,2023-04-30,,USD
ANCTF,ANCTF,2023-06-27,2023-04-30,,USD
AOREF,AOREF,2023-06-28,2023-03-31,,USD
AOUT,American Outdoor Brands Inc,2023-06-28,2023-04-30,-0.13,USD
APLIF,APLIF,2023-06-27,2023-03-31,-0.02,CAD
ATBPF,ATBPF,2023-06-28,2023-03-31,-0.11,CAD
AVAV,AeroVironment Inc,2023-06-27,2023-04-30,1.01,USD
AYI,Acuity Brands Inc,2023-06-29,2023-05-31,3.75,USD
BB,BlackBerry Ltd,2023-06-28,2023-05-31,-0.05,USD
BBBY,BBBY,2023-06-27,2023-05-31,-1.49,USD
BGAVF,BGAVF,2023-06-26,2023-04-30,,USD
BKBLF,BKBLF,2023-06-26,2023-03-31,,CAD
BKRRF,BKRRF,2023-06-27,2023-04-30,,CAD
BNED,Barnes & Noble Education Inc,2023-06-27,2023-04-30,-0.6,USD
BOXDQ,BOXDQ,2023-06-26,2023-03-31,-0.19,USD
BQ,Boqii Holding Ltd,2023-06-27,2023-03-31,-0.45,CNY
BSET,Bassett Furniture Industries Inc,2023-06-28,2023-05-31,0.05,USD
BTDG,BTDG,2023-06-29,2023-03-31,,USD
BTVRD,BTVRD,2023-06-27,2023-04-30,,CAD
BTVRF,BTVRF,2023-06-27,2023-04-30,,USD
BWCGF,BWCGF,2023-06-24,2023-04-30,,CAD
BWLKF,BWLKF,2023-06-28,2023-03-31,,USD
BWTL,BWTL,2023-06-26,2023-04-30,,USD
CAFZF,CAFZF,2023-06-26,2023-04-30,,USD
CCL,Carnival Corp (Paired Stock),2023-06-26,2023-05-31,-0.34,USD
CIDM,CIDM,2023-06-26,2023-03-31,0.02,USD
CJREF,CJREF,2023-06-29,2023-05-31,0.04,CAD
CNIKF,CNIKF,2023-06-26,2023-04-30,,CAD
CNVS,Cineverse Corp,2023-06-29,2023-03-31,0.4,USD
CNXC,Concentrix Corporation,2023-06-28,2023-05-31,2.52,USD
CPIVF,CPIVF,2023-06-26,2023-04-30,,CAD
CUK,Carnival plc,2023-06-26,2023-05-31,-0.3479,USD
CULP,Culp Inc,2023-06-27,2023-05-31,-0.47,USD
CVTGF,CVTGF,2023-06-26,2023-03-31,,CAD
CYRNQ,CYRNQ,2023-06-30,2023-03-31,0,USD
DCT,DCT,2023-06-27,2023-05-31,0.0311,USD
DRKOF,DRKOF,2023-06-27,2023-03-31,,USD
DUO,Fangdd Network Group Ltd,2023-06-27,2023-03-31,,CNY
ELLO,Ellomay Capital Ltd,2023-06-27,2023-03-31,,EUR
FC,Franklin Covey Company,2023-06-28,2023-05-31,0.22,USD
FEDU,Four Seasons Education (Cayman) Inc,2023-06-27,2023-05-31,,CNY
FIZZ,National Beverage Corp,2023-06-27,2023-05-31,,USD
FIZZ,National Beverage Corp,2023-06-27,2023-04-30,0.38,USD
FRD,Friedman Industries Inc,2023-06-29,2023-03-31,0,USD
FUL,H.B. Fuller Company,2023-06-28,2023-05-31,1.04,USD
GB,Global Blue Group Holding AG,2023-06-26,2023-03-31,,USD
GBX,Greenbrier Cos. Inc,2023-06-29,2023-05-31,0.6,USD
GHVNF,GHVNF,2023-06-26,2023-04-30,,USD
GIS,General Mills Inc,2023-06-28,2023-05-31,1.06,USD
